title, author, rating, format, pages, publish_date
Rage of Angels,Sidney Sheldon,3.93,Paperback,512,August 3rd 1999
Firefly Lane (Firefly Lane #1),Kristin Hannah,4.06,Hardcover,479,February 5th 2008
South of the Border West of the Sun,Haruki Murakami,3.87,Paperback,190,December 1st 2006
The Power and the Glory,Graham Greene,3.99,Paperback,222,February 25th 2003
The Black Jewels Trilogy: Daughter of the Blood Heir to the Shadows Queen of the Darkness (The Black Jewels #1-3),Anne Bishop,4.39,Paperback,1204,December 2nd 2003
The Beach,Alex Garland,3.93,Paperback,436,February 1st 1998
The Accidental Tourist,Anne Tyler,3.91,Paperback,352,April 9th 2002
Om Chanting and Meditation,Amit Ray,4.58,Kindle Edition,113,June 29th 2010
Zeitoun,Dave Eggers,4.08,Hardcover,342,July 15th 2009
Fifty Shades Darker (Fifty Shades #2),E.L. James,3.85,Paperback,532,September 16th 2011
The Largesse of the Sea Maiden,Denis Johnson,3.93,Hardcover,207,January 16th 2018
2666,Roberto Bolaño,4.20,Paperback,1126,February 28th 2006
Mornings in Jenin,Susan Abulhawa,4.37,Paperback,352,February 15th 2010
Life After Life (Todd Family #1),Kate Atkinson,3.75,Hardcover,531,April 2nd 2013
Go the Fuck to Sleep,Adam Mansbach,4.26,Hardcover,64,June 14th 2011
The Dead Zone,Stephen King,3.91,Mass Market Paperback,402,August 1980
Gabriel's Inferno (Gabriel's Inferno #1),Sylvain Reynard,4.01,Paperback,506,April 4th 2011
The Speed of Life: An Illustrated Novel,James Victor Jordan,4.39,Kindle Edition,299,November 6th 2018
Dead Men's Trousers,Irvine Welsh,4.03,Paperback,432,March 29th 2018
Save Yourself,Kelly Braffet,3.43,Hardcover,320,August 6th 2013
The Sword of Shannara (The Original Shannara Trilogy #1),Terry Brooks,3.76,Paperback,726,April 1999
The Comfort of Strangers,Ian McEwan,3.42,Paperback,128,November 1st 1994
Piercing,Ryū Murakami,3.57,Paperback,192,March 27th 2007
The Sight of Demons (The Master of Perceptions #1),Darin C.  Brown,4.51,Paperback,270,October 6th 2017
Southern Mystical Moments,Patricia H. Graham,3.71,Paperback,138,October 31st 2012
Go Tell It on the Mountain,James Baldwin,4.02,Paperback,256,2001
Ferdydurke,Witold Gombrowicz,3.86,Paperback,320,August 11th 2000
Balzac and the Little Chinese Seamstress,Dai Sijie,3.64,Paperback,184,October 29th 2002
The Birth of Venus,Sarah Dunant,3.80,Paperback,427,November 30th 2004
Just Listen,Sarah Dessen,4.06,Hardcover,371,April 6th 2006
Regeneration (Regeneration #1),Pat Barker,4.03,Paperback,256,by Penguin Books Ltd (first published 1991)
The End of Everything,Megan Abbott,3.34,Hardcover,246,July 7th 2011
4 3 2 1,Paul Auster,3.88,Hardcover,866,January 31st 2017
Cocaine Nights,J.G. Ballard,3.52,Paperback,336,April 16th 1999
A Hero of Our Time,Mikhail Lermontov,4.11,Paperback,185,August 30th 1966
Angelfall (Penryn & the End of Days #1),Susan Ee,4.17,Kindle Edition,288,August 28th 2012
The Informers,Bret Easton Ellis,3.38,Unknown Binding,240,2000
Concrete Island,J.G. Ballard,3.66,Paperback,176,October 5th 2001
The Street Lawyer,John Grisham,3.83,Paperback,384,April 26th 2005
Champion (Legend #3),Marie Lu,4.36,Hardcover,369,November 5th 2013
Botanical Shakespeare: An Illustrated Compendium of All the Flowers Fruits Herbs Trees Seeds and Grasses Cited by the World's Greatest Playwright,Gerit Quealy,4.21,Hardcover,208,April 4th 2017
Tipping the Velvet,Sarah Waters,4.01,Paperback,472,May 1st 2000
Big Sur,Jack Kerouac,3.85,Paperback,256,1992
Story of the Eye,Georges Bataille,3.68,Paperback,103,January 1st 2001
Anansi Boys,Neil Gaiman,4.02,Mass Market Paperback,387,September 26th 2006
Holy Bible: The New King James Version,Anonymous,4.39,Hardcover,1536,March 7th 2006
The Magicians (The Magicians #1),Lev Grossman,3.50,Hardcover,402,August 11th 2009
Lisey's Story,Stephen King,3.67,Hardcover,513,October 24th 2006
Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,4.11,Paperback,481,October 1st 2006
The Third Policeman,Flann O'Brien,4.02,Paperback,200,March 1st 1999
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.68,Hardcover,616,April 18th 2006
The Angel's Game (The Cemetery of Forgotten Books #2),Carlos Ruiz Zafón,3.90,Paperback,522,2009
Winter of the World (The Century Trilogy #2),Ken Follett,4.32,Hardcover,940,September 18th 2012
The Sex Lives of Siamese Twins,Irvine Welsh,3.54,Hardcover,468,May 1st 2014
Fawkes,Nadine Brandes,3.90,Hardcover,448,July 10th 2018
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,4.33,Paperback,384,September 8th 1997
The Sluts,Dennis Cooper,3.69,Paperback,262,October 19th 2005
The Portrait of a Lady,Henry James,3.77,Paperback,797,September 30th 2003
The Rape of Nanking,Iris Chang,4.11,Paperback,290,November 1st 1998
Cloudstreet,Tim Winton,3.99,Paperback,426,June 6th 2002
Rubinrot (Edelstein-Trilogie #1),Kerstin Gier,4.12,Hardcover,343,January 6th 2009
The Sisterhood of the Traveling Pants (Sisterhood #1),Ann Brashares,3.77,Hardcover,294,September 11th 2001
A Good Man is Hard to Find and Other Stories,Flannery O'Connor,4.23,Hardcover,252,October 15th 1992
Boundless (Unearthly #3),Cynthia Hand,4.14,Hardcover,448,January 22nd 2013
Shake Hands with the Devil: The Failure of Humanity in Rwanda,Roméo Dallaire,4.23,Paperback,562,December 21st 2004
This Present Darkness (Darkness #1),Frank E. Peretti,4.23,Paperback,376,June 26th 2003
Les Liaisons dangereuses,Pierre Choderlos de Laclos,4.07,Paperback,448,March 18th 1999
The Secret of the Nagas (Shiva Trilogy #2),Amish Tripathi,4.02,Paperback,396,August 12th 2011
The Touch: A Supernatural Story (The Touch #1),Robert Flynn III,3.93,Kindle Edition,388,February 11th 2017
Cane River,Lalita Tademy,4.05,Paperback,522,April 1st 2002
The Pigman (The Pigman #1),Paul Zindel,3.59,Paperback,166,2005
Hopeless (Hopeless #1),Colleen Hoover,4.31,ebook,410,December 19th 2012
King of the Wind: The Story of the Godolphin Arabian,Marguerite Henry,4.19,Hardcover,176,November 1st 1990
Asterix the Gaul (Asterix #1),René Goscinny,4.17,Paperback,48,April 29th 2004
Never Cry Wolf: The Amazing True Story of Life Among Arctic Wolves,Farley Mowat,4.19,Paperback,246,September 13th 2001
The Solitaire Mystery: A Novel About Family and Destiny,Jostein Gaarder,4.17,Hardcover,309,June 1st 1996
Hannibal (Hannibal Lecter #3),Thomas  Harris,3.75,Paperback,564,May 18th 2000
Visions (The Secret Watchers #1),Lauren Klever,4.36,ebook,,September 26th 2012
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,3.94,Paperback,77,June 1st 1970
The Hero of Ages (Mistborn #3),Brandon Sanderson,4.48,Hardcover,572,October 14th 2008
Before I Die,Jenny Downham,3.83,Hardcover,336,July 5th 2007
Entrance (Thornhill Trilogy #1),J.J. Sorel,4.11,Kindle Edition,277,October 18th 2017
Have a Little Faith: a True Story,Mitch Albom,4.17,Hardcover,249,September 29th 2009
In His Steps,Charles M. Sheldon,4.16,Mass Market Paperback,96,September 1st 2002
Fire of Stars and Dragons (Stars and Souls #1),Melissa Petreshock,3.53,Kindle Edition,224,April 29th 2014
The Art of Success: What No One Ever Taught You (But You Still Need to Know),James Melouney,4.04,ebook,242,May 23rd 2016
If I Wake,Nikki Moyes,3.96,Kindle Edition,276,August 10th 2016
Anne of Avonlea (Anne of Green Gables #2),L.M. Montgomery,4.22,Paperback,304,October 6th 1997
What Katy Did,Susan Coolidge,3.90,Paperback,136,December 22nd 2000
Whispers (The Secret Watchers #2),Lauren Klever,4.40,ebook,,February 7th 2013
Oblomov,Ivan Goncharov,4.03,Paperback,586,October 12th 2006
Tears of Glass,David  Lake,4.00,Kindle Edition,293,March 2nd 2016
NICU II and Victoria's Incestuous Romance,Kenneth Jarrett Singleton,4.40,Paperback,76,November 29th 2013
A Christmas Memory,Truman Capote,4.24,ebook,48,October 10th 2006
Running from Romeo (Romeo #1),Diane Mannino,3.58,ebook,345,September 1st 2013
The Snow Goose,Paul Gallico,4.11,Hardcover,58,June 27th 1941
I Am Nujood Age 10 and Divorced,Nujood Ali,3.81,Paperback,188,March 2nd 2010
Magic Kingdom For Sale/Sold (Magic Kingdom of Landover #1),Terry Brooks,3.88,Mass Market Paperback,324,April 1st 1992
A Year in Provence,Peter Mayle,3.96,Paperback,207,June 4th 1991
The Te of Piglet,Benjamin Hoff,3.81,Paperback,257,February 1st 2003
Quo Vadis,Henryk Sienkiewicz,4.15,Paperback,589,2006
When the Moon Comes,Paul  Harbridge,3.99,Hardcover,40,September 12th 2017
The 5000 Year Leap: A Miracle That Changed the World,W. Cleon Skousen,4.27,Paperback,337,June 1st 2006
Sacajawea,Anna Lee Waldo,4.24,Paperback,1424,July 1st 1984
Ella Minnow Pea: A Novel in Letters,Mark Dunn,3.85,Paperback,208,September 17th 2002
The Spy Who Came In from the Cold (George Smiley #3),John le Carré,4.07,Paperback,224,November 27th 2001
A Time to Die (Out of Time #1),Nadine Brandes,4.38,Paperback,389,September 23rd 2014
Waiter to the Rich and Shameless: Confessions of a Five-Star Beverly Hills Server,Paul Hartford,3.41,ebook,,December 12th 2014
The Bedroom Secrets of the Master Chefs,Irvine Welsh,3.48,Paperback,400,May 17th 2007
Old Man's War (Old Man's War #1),John Scalzi,4.24,Mass Market Paperback,351,January 15th 2007
Ethics,Baruch Spinoza,4.03,Paperback,186,June 27th 1996
The Silver Chair (Chronicles of Narnia #4),C.S. Lewis,3.96,Paperback,243,January 2nd 2008
Adjustment Day,Chuck Palahniuk,3.15,Hardcover,316,May 1st 2018
Dark Guardian,Ammar Habib,4.13,Paperback,334,October 27th 2016
Fever 1793,Laurie Halse Anderson,3.91,Paperback,252,September 1st 2000
The Nicomachean Ethics,Aristotle,3.93,Paperback,329,January 29th 2004
One,Richard Bach,3.95,Mass Market Paperback,320,May 11th 2001
Déjà Dead (Temperance Brennan #1),Kathy Reichs,3.87,Paperback,532,June 1998
Falling Up,Shel Silverstein,4.34,Hardcover,178,August 1st 2003
Prodigy (Legend #2),Marie Lu,4.28,Hardcover,371,January 29th 2013
The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #15),Michael Connelly,4.16,Paperback,404,2005
Marjorie Morningstar,Herman Wouk,3.98,Paperback,565,June 15th 1992
Written on the Body,Jeanette Winterson,4.07,Paperback,192,February 1st 1994
Skulduggery Pleasant (Skulduggery Pleasant #1),Derek Landy,4.21,Hardcover,392,April 3rd 2007
The Waves,Virginia Woolf,4.14,Paperback,297,June 1st 1978
Awakening the Fire (Guardian Witch #1),Ally Shields,3.76,ebook,245,September 14th 2012
The Castle,Franz Kafka,3.97,Paperback,316,December 15th 1998
Otuna's Flute,Maricar Banguis,5.00,Kindle Edition,206,January 20th 2019
The Grifters,Jim Thompson,3.96,Paperback,224,August 5th 2014
The Dark Tower (The Dark Tower #7),Stephen King,4.28,Paperback,1050,September 1st 2006
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,4.30,Paperback,160,September 26th 2000
Fight Club,Chuck Palahniuk,4.20,Paperback,224,May 1st 2018
The Secret Diary of Adrian Mole Aged 13 3/4  (Adrian Mole #1),Sue Townsend,3.87,Paperback,272,August 14th 2003
The Death of Bunny Munro,Nick Cave,3.43,Hardcover,288,2009
Almost Transparent Blue,Ryū Murakami,3.28,Paperback,126,April 11th 2003
Boy's Life,Robert R. McCammon,4.35,Mass Market Paperback,580,May 1st 1992
RUNNING IN CORRIDORS,C.H. Edwards,4.20,Kindle Edition,,October 27th 2012
Spoils of the Moon,Mark Shearman,4.72,Kindle Edition,219,July 25th 2015
Giants in the Earth,O.E. Rølvaag,3.99,Paperback,531,August 4th 1999
The Information,Martin Amis,3.57,Paperback,374,March 19th 1996
Darkly Dreaming Dexter (Dexter #1),Jeff Lindsay,3.90,Paperback,288,September 19th 2006
The Power of a Praying Woman,Stormie Omartian,4.40,Paperback,256,February 1st 2014
The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,James L. Ferrell,4.40,Hardcover,203,January 1st 2004
2 States: The Story of My Marriage,Chetan Bhagat,3.43,Paperback,269,October 8th 2009
The Brothers K,David James Duncan,4.38,Paperback,645,June 1st 1996
Heart-Shaped Box,Joe Hill,3.83,Hardcover,376,February 13th 2007
Gormenghast (Gormenghast #2),Mervyn Peake,4.01,Paperback,505,February 5th 1998
The Painted Veil,W. Somerset Maugham,3.92,Paperback,246,November 14th 2006
Civilization and Its Discontents,Sigmund Freud,3.77,Paperback,127,September 17th 1989
Rabbit Run (Rabbit Angstrom #1),John Updike,3.58,Paperback,325,1996
The Dionysus Connection (Perception Series #1),Liz  Cowan,4.18,Paperback,360,December 5th 2012
V for Vendetta,Steve Moore,4.14,Paperback,358,March 1st 2006
1Q84 #1-2 (1Q84 #1-2),Haruki Murakami,4.08,Kindle Edition,628,October 18th 2011
Diary of a Freedom Writer: The Experience,Darrius Garrett,4.24,Paperback,224,April 29th 2013
The Bacchae,Euripides,3.86,Paperback,96,April 1st 1999
We Were the Mulvaneys,Joyce Carol Oates,3.71,Paperback,454,September 1st 1997
Homo Faber,Max Frisch,3.74,Paperback,228,May 1st 1994
The Blue Castle,L.M. Montgomery,4.25,Mass Market Paperback,218,April 1st 1989
Foucault's Pendulum,Umberto Eco,3.90,Paperback,623,March 5th 2007
Demons,Fyodor Dostoyevsky,4.26,Paperback,733,August 1st 1995
Is Goat Beef?: Tales from the Front Served with Dishes from the Rear,Jeffery M Camp,4.18,Paperback,,December 15th 2016
Fluke: Or I Know Why the Winged Whale Sings,Christopher Moore,3.74,Paperback,321,June 15th 2004
The Joy of Sex,Alex Comfort,3.61,Unknown Binding,224,February 21st 2004
Speedy Reads,Chris-Jean Clarke,4.77,ebook,66,July 30th 2015
The Last Valentine,Felix Alexander,4.08,Kindle Edition,241,February 13th 2017
Twisted Love,Wally Runnels,4.21,Paperback,292,July 6th 2016
Still Life with Woodpecker,Tom Robbins,4.04,Paperback,288,April 9th 2001
Slave: My True Story,Mende Nazer,4.31,Paperback,368,April 27th 2005
The Immortals of Meluha (Shiva Trilogy #1),Amish Tripathi,4.05,Paperback,436,April 1st 2010
A Little Life,Hanya Yanagihara,4.30,Hardcover,720,March 10th 2015
Arcadia,Tom Stoppard,4.19,Paperback,97,September 24th 1994
Red Rising (Red Rising #1),Pierce Brown,4.27,Hardcover,382,January 28th 2014
Face of Our Father,G Egore Pitir,4.12,Paperback,376,September 4th 2014
Magic America,C.E. Medford,3.85,Paperback,244,July 2nd 2014
Phèdre,Jean Racine,3.71,Mass Market Paperback,55,1971
The I Ching or Book of Changes,Anonymous,4.19,Hardcover,740,1997
Praise of Folly,Erasmus,3.88,Paperback,256,November 25th 1993
The One (The Selection #3),Kiera Cass,4.21,Hardcover,323,May 6th 2014
We Were Liars,E. Lockhart,3.84,Kindle Edition,242,May 13th 2014
Assassin's Apprentice (Farseer Trilogy #1),Robin Hobb,4.15,Mass Market Paperback,435,March 1st 1996
If Tomorrow Comes (Tracy Whitney #1),Sidney Sheldon,4.04,Hardcover,501,1985
Capital Vol. 1: A Critical Analysis of Capitalist Production,Karl Marx,4.20,Paperback,1152,May 5th 1992
The Angel Experiment (Maximum Ride #1),James Patterson,4.08,Mass Market Paperback,413,May 5th 2006
Gone (Gone #1),Michael  Grant,3.86,Hardcover,560,June 24th 2008
The Inn of the Sixth Happiness,Alan Burgess,4.27,Mass Market Paperback,199,January 1st 1971
Intensity,Dean Koontz,4.05,Paperback,436,October 31st 2000
The Making of the Atomic Bomb,Richard Rhodes,4.34,Paperback,886,August 1st 1995
Lysistrata,Aristophanes,3.85,Paperback,132,March 1st 2003
Naked in Death (In Death #1),J.D. Robb,4.12,Mass Market Paperback,306,July 1st 1995
Imajica,Clive Barker,4.16,Paperback,823,August 1st 1997
The Wedding (The Notebook #2),Nicholas Sparks,3.98,Paperback,276,August 1st 2005
Mother Night,Kurt Vonnegut,4.22,Paperback,282,May 11th 1999
The Crimson Petal and the White,Michel Faber,3.88,Paperback,835,September 11th 2003
سینوهه,Mika Waltari,4.10,Hardcover,904,(first published 1945)
Dealing with Dragons (Enchanted Forest Chronicles #1),Patricia C. Wrede,4.15,Paperback,212,November 1st 2002
Specials (Uglies #3),Scott Westerfeld,3.77,Hardcover,384,May 9th 2006
Purple Hibiscus,Chimamanda Ngozi Adichie,4.16,Paperback,307,2005
Master of the Game,Sidney Sheldon,4.11,Paperback,489,1993
Dare Me,Megan Abbott,3.22,Hardcover,290,July 31st 2012
Train Dreams,Denis Johnson,3.89,Paperback,116,May 22nd 2012
Shatter Me (Shatter Me #1),Tahereh Mafi,3.98,Hardcover,338,November 15th 2011
The Mysterious Benedict Society (The Mysterious Benedict Society #1),Trenton Lee Stewart,4.15,Hardcover,485,March 7th 2007
What's Behind Your Belly Button? A Psychological Perspective of the Intelligence of Human Nature and Gut Instinct,Martha Char Love,4.15,Paperback,328,November 8th 2011
If This Is a Man / The Truce,Primo Levi,4.55,Paperback,419,1987
Little Town on the Prairie  (Little House #7),Laura Ingalls Wilder,4.18,Paperback,374,January 1st 2007
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,4.20,Paperback,344,May 7th 2002
Mutiny on the Bounty,Charles Bernard Nordhoff,3.98,Library Binding,400,April 11th 1989
Another Roadside Attraction,Tom Robbins,3.98,Paperback,366,January 10th 2004
Pedagogy of the Oppressed,Paulo Freire,4.26,Paperback,192,September 1st 2000
Perrault's Fairy Tales,Charles Perrault,4.18,Paperback,117,June 1st 1969
Big Fish,Daniel Wallace,3.66,Paperback,192,2004
Quantum Roots,Kyle Keyes,4.28,Paperback,262,August 2012
Totto-chan: The Little Girl at the Window,Tetsuko Kuroyanagi,4.32,Paperback,232,May 15th 1996
A Dog's Purpose (A Dog's Purpose #1),W. Bruce Cameron,4.35,Hardcover,319,July 6th 2010
The Girl Who Loved Tom Gordon,Stephen King,3.58,Paperback,264,November 1st 2005
Dawn (The Night Trilogy #2),Elie Wiesel,3.87,Paperback,81,March 21st 2006
Disgrace,J.M. Coetzee,3.84,Paperback,220,August 30th 2005
The Milagro Beanfield War,John     Nichols,4.09,Paperback,456,February 15th 2000
Hex Hall (Hex Hall #1),Rachel Hawkins,3.96,Hardcover,323,March 2nd 2010
Once Were Warriors,Alan Duff,3.94,Paperback,208,February 28th 1995
King Leopold's Ghost,Adam Hochschild,4.15,Paperback,376,September 3rd 1999
The 5th Wave (The 5th Wave #1),Rick Yancey,4.07,Hardcover,457,May 7th 2013
We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore,4.31,Paperback,480,November 23rd 2004
Gathering Blue,Lois Lowry,3.81,Paperback,240,September 25th 2000
When You Reach Me,Rebecca Stead,4.08,Hardcover,199,July 14th 2009
Bitterblue (Graceling Realm #3),Kristin Cashore,4.01,Hardcover,576,May 1st 2012
The Bone Collector (Lincoln Rhyme #1),Jeffery Deaver,4.19,Paperback,528,April 1st 1998
Shadows of Atlantis: Awakening,Mara Powers,4.38,Paperback,,by Shadows of Atlantis, LLC (first published November 28th 2018)
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,Mass Market Paperback,306,2002
L'Écume des jours,Boris Vian,4.00,Paperback,351,February 26th 1997
New England Witch Chronicles (New England Witch Chronicles #1),Chelsea Luna,3.99,Kindle Edition,358,July 2nd 2011
The Mystery of Revenge (Back Bay Investigation #0),G.X. Chen,4.18,Paperback,164,June 11th 2013
Meeting With Christ and Other Poems,Deepak Chaswal,4.59,Kindle Edition,80,August 6th 2013
Many Lives Many Masters: The True Story of a Prominent Psychiatrist His Young Patient and the Past Life Therapy That Changed Both Their Lives,Brian L. Weiss,4.16,Hardcover,217,March 12th 1996
Finding the Rainbow,Rachel McGrath,4.58,Paperback,175,May 21st 2015
Rock-A-Bye Baby (The Sand Maiden #1),L.R.W. Lee,3.92,Kindle Edition,238,June 4th 2018
Avaland,Amy Croucher Rose,4.83,Paperback,342,April 18th 1
الصوت روح,Huda Aweys,3.26,Hardcover,80,2014
Reaper Man (Discworld #11; Death #2),Terry Pratchett,4.28,Paperback,352,April 1st 2005
The Tiger's Wife,Téa Obreht,3.38,Hardcover,338,March 8th 2011
Summer of the Monkeys,Wilson Rawls,4.03,Paperback,288,December 29th 1998
Reality of Life (Perception #2),Shandi Boyes,4.48,Paperback,366,March 28th 2016
Breakfast is Severed,TyCobbsTeeth,3.85,ebook,,August 29th 2014
Perception of Life (Perception #1),Shandi Boyes,4.09,Paperback,388,March 3rd 2016
Dying To Forget (The Station #1),Trish Marie Dawson,4.01,Kindle Edition,216,August 3rd 2012
Up from Slavery,Booker T. Washington,4.10,Paperback,256,January 1st 2000
Einstein: His Life and Universe,Walter Isaacson,4.10,Hardcover,675,April 10th 2007
On the Other Hand: The Little Anthology of Big Questions,Renée Paule,4.54,Paperback,216,October 1st 2014
A Capitalist in North Korea: My Seven Years in the Hermit Kingdom,Felix Abt,3.71,Hardcover,320,August 12th 2014
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.33,Paperback,238,April 4th 2006
The English Patient: A Screenplay,Anthony Minghella,3.86,Paperback,208,November 15th 1996
The Orb of Truth (The Horn King #1),Brae Wyckoff,3.77,Paperback,242,November 17th 2012
Wild Geese,Mary Oliver,4.59,Paperback,160,October 28th 2004
Mid Ocean,T. Rafael Cimino,3.99,Paperback,422,December 9th 2009
Richard III,William Shakespeare,3.93,Paperback,414,May 17th 2001
Antigone,Jean Anouilh,3.81,Paperback,72,September 1st 1960
Conjured (New England Witch Chronicles #2),Chelsea Luna,4.24,Paperback,316,February 20th 2012
Survivor,Chuck Palahniuk,3.93,Paperback,304,May 1st 2018
Fantastic Beasts and Where to Find Them,Newt Scamander,3.99,Hardcover,128,June 1st 2001
أولاد حارتنا,Naguib Mahfouz,4.10,Paperback,600,May 1st 2006
Tiger's Voyage (The Tiger Saga #3),Colleen Houck,4.34,Paperback,560,November 1st 2011
The Mysterious Island (Extraordinary Voyages #12),Jules Verne,4.10,Paperback,723,April 27th 2004
The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man #1),Jonas Jonasson,3.82,Paperback,396,July 12th 2012
American Born Chinese,Gene Luen Yang,3.88,Paperback,240,September 5th 2006
Last Chance to See,Douglas Adams,4.34,Paperback,256,October 13th 1992
First Contact (Aoleon The Martian Girl #1),Brent LeVasseur,3.99,Kindle Edition,94,January 31st 2015
Push,Sapphire,3.83,Paperback,177,April 29th 1997
Kiss the Girls (Alex Cross #2),James Patterson,3.95,Paperback,481,July 1st 2000
The Tied Man (The Tied Man #1),Tabitha McGowan,4.05,Kindle Edition,395,January 5th 2013
Gardens of the Moon (Malazan Book of the Fallen #1),Steven Erikson,3.88,Mass Market Paperback,666,January 2005
Three Day Road,Joseph Boyden,4.31,Paperback,384,March 14th 2006
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,3.90,Hardcover,318,April 17th 2012
Undressed (The Manhattanites #2),Avery Aster,3.63,ebook,,February 1st 2013
The Woman in the Dunes,Kōbō Abe,3.91,Paperback,241,1991
A Time to Speak (Out of Time #2),Nadine Brandes,4.67,Paperback,458,October 16th 2015
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,Paperback,256,June 30th 1993
Fifth Business (The Deptford Trilogy #1),Robertson Davies,4.04,Paperback,252,2002
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,4.04,Paperback,237,April 17th 1992
Blood Tithe (Blood Tithe #1),Glenn J. Soucy,4.36,Kindle Edition,345,November 13th 2011
Unscrupulous (The Manhattanites #1),Avery Aster,3.71,ebook,260,August 14th 2013
Blankets,Craig Thompson,4.05,Paperback,592,August 18th 2003
The Assiduous Quest of Tobias Hopkins: The Complete Novel,James Faro,4.20,Kindle Edition,281,March 7th 2015
Bared to You (Crossfire #1),Sylvia Day,4.19,Paperback,334,February 4th 2014
I Heard the Owl Call My Name,Margaret Craven,3.95,Paperback,146,January 10th 2005
Rooftops of Tehran,Mahbod Seraji,4.04,Paperback,348,2009
Stone Butch Blues,Leslie Feinberg,4.30,Hardcover,308,November 2003
Tell Me Your Dreams,Sidney Sheldon,3.94,Paperback,384,August 1999
Puhdistus,Sofi Oksanen,3.87,Paperback,381,2008
The Code: The Assiduous Quest of Tobias Hopkins - Part Two,James Faro,4.85,Kindle Edition,150,February 18th 2015
Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,4.22,Paperback,180,January 11th 2011
Griffin and Sabine (Griffin & Sabine #1),Nick Bantock,4.00,Hardcover,46,2001
The Surgeon (Rizzoli & Isles #1),Tess Gerritsen,4.10,Paperback,416,2005
The Dhammapada,Anonymous,4.29,Paperback,114,August 1st 1995
No Exit,Jean-Paul Sartre,4.14,Paperback,60,December 8th 2010
Homecoming: The Assiduous Quest of Tobias Hopkins - Part One,James Faro,4.58,Kindle Edition,150,February 10th 2015
Shoeless Joe,W.P. Kinsella,3.97,Hardcover,272,April 28th 1999
Rose Madder,Stephen King,3.69,Paperback,608,1995
The Book of Lost Things,John Connolly,3.99,Hardcover,339,November 7th 2006
Scarlet (The Lunar Chronicles #2),Marissa Meyer,4.29,Hardcover,454,February 5th 2013
The Invention of Morel,Adolfo Bioy Casares,4.06,Paperback,103,August 31st 2003
Os Maias,Eça de Queirós,4.00,Paperback,681,April 2003
The Complete Tales and Poems of Winnie-the-Pooh (Winnie-the-Pooh #1-4),A.A. Milne,4.50,Hardcover,557,October 1st 2001
Amatore's Restaurant,James Sillwood,4.27,Kindle Edition,344,June 30th 2014
Swallows and Amazons (Swallows and Amazons #1),Arthur Ransome,3.99,Paperback,315,July 16th 2010
The Circle,Dave Eggers,3.44,Hardcover,493,October 8th 2013
The Knight in Rusty Armor,Robert Fisher,3.69,Paperback,80,May 1st 1987
The Cricket in Times Square,George Selden,4.02,Mass Market Paperback,134,May 11th 1999
The Sense of an Ending,Julian Barnes,3.71,Hardcover,150,August 4th 2011
Daddy-Long-Legs (Daddy-Long-Legs #1),Jean Webster,4.12,Hardcover,249,1912
When Breath Becomes Air,Paul Kalanithi,4.35,Kindle Edition,208,January 19th 2016
Alternatives to a Frozen Mouse,A.J. Mouse,4.18,Paperback,274,February 22nd 2017
The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.15,Paperback,400,April 1st 1998
The Storyteller,Jodi Picoult,4.27,Hardcover,460,February 26th 2013
The New Oxford Annotated Bible: New Revised Standard Version,Anonymous,4.34,Hardcover,2432,February 2nd 2007
Julie of the Wolves (Julie of the Wolves #1),Jean Craighead George,3.80,Paperback,176,January 5th 2016
Chrzest ognia (Saga o Wiedźminie #5),Andrzej Sapkowski,4.35,Paperback,334,1996
Lust for Life,Irving Stone,4.23,Paperback,431,February 1st 1990
Oscar et la dame rose,Éric-Emmanuel Schmitt,4.22,Paperback,100,November 1st 2002
Shanghai Girls (Shanghai Girls #1),Lisa See,3.89,Hardcover,309,May 26th 2009
The Elite (The Selection #2),Kiera Cass,4.02,Hardcover,336,April 23rd 2013
Another Country,James Baldwin,4.28,Paperback,448,September 11th 2001
I'll Give You the Sun,Jandy Nelson,4.13,Hardcover,371,September 16th 2014
Gabriel's Rapture (Gabriel's Inferno #2),Sylvain Reynard,4.22,ebook,386,May 22nd 2012
Forever . . .,Judy Blume,3.62,Paperback,178,June 3rd 2005
Public Information,Rolf Margenau,4.16,Kindle Edition,407,December 5th 2016
Death with Interruptions,José Saramago,3.99,Hardcover,238,September 1st 2008
Eye of the Needle,Ken Follett,4.18,Paperback,339,November 23rd 2004
